GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,ExistsHardToken,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,UserDataSourceException_Exception,18,0,0,0,7,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,ApprovalRequestExpiredException,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,CaCertResponseForRollover,35,0,2,0,13,0,9,0,8,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,CaCertResponse,35,0,2,0,13,0,9,0,8,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,GetLatestCRLResponse,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,SignRequestException,17,0,0,0,7,0,5,0,5,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,SignRequestException_Exception,18,0,0,0,7,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,CesecoreException_Exception,18,0,0,0,7,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,NotFoundException_Exception,18,0,0,0,7,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,KeyRecoverNewestResponse,3,0,0,0,1,0,1,0,1,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,CreateCRL,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,FindCerts,17,0,0,0,7,0,5,0,5,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,UnknownProfileTypeException,17,0,0,0,7,0,5,0,5,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,EndEntityProfileNotFoundException_Exception,18,0,0,0,7,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,CertificateExpiredException,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,EjbcaException,17,0,0,0,7,0,5,0,5,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,GetAvailableCAsInProfile,10,0,0,0,4,0,3,0,3,0
